K,group,route,t0_s,t1_s,q3_provider,relay_task,local_provider,margin_dB
3,2,18,390.493942243506,554.660001889279,G01,,G01,5.19944518752634
3,2,18,554.660001889279,636.743031712165,G01,,G01,2.3927743497218
3,2,18,636.743031712165,677.784546623608,G01,,G01,1.12641886409861
3,2,18,677.784546623608,698.30530407933,G01,,G01,0.554869806644803
3,2,18,698.30530407933,708.56568280719,G01,,G01,0.28240474505904
3,2,18,708.56568280719,718.826061535051,G01,,G01,0.00814679933471041
3,2,18,718.826061535051,794.597473679265,R01,Q3-R01,K3-G2-R01,6.02746286297798
3,2,18,794.597473679265,813.590203171453,R01,Q3-R01,K3-G2-R01,7.53893838963978
3,2,18,813.590203171453,993.590203171453,R01,Q3-R01,K3-G2-R01,7.61074158074061
3,2,18,993.590203171453,1054.11030815192,R01,Q3-R01,K3-G2-R01,7.33183292393394
3,2,18,1054.11030815192,1314.72701622533,R01,Q3-R01,K3-G2-R01,5.90932134223945
3,2,18,1314.72701622533,1387.63114220189,R01,Q3-R01,K3-G2-R01,9.50951988232356
3,2,18,1387.63114220189,1567.63114220189,R01,Q3-R01,K3-G2-R01,10.4128605785245
3,2,18,1567.63114220189,1647.94693810033,R01,Q3-R01,K3-G2-R01,9.16086784080879
3,2,18,1647.94693810033,1675.54702248065,R01,Q3-R01,K3-G2-R01,8.6961247197203
3,2,18,1675.54702248065,1773.20666333897,R01,Q3-R01,K3-G2-R01,1.6353118105072
3,2,18,1773.20666333897,1793.60502352308,G01,,G01,0.00571155585001293
3,2,18,1793.60502352308,1814.00338370719,G01,,G01,0.556672883545801
3,2,18,1814.00338370719,1854.8001040754,G01,,G01,1.11293464372679
3,2,18,1854.8001040754,1936.39354481184,G01,,G01,2.3340265017129
3,2,18,1936.39354481184,2099.5804262847,G01,,G01,4.72839146980334
3,2,18,2099.5804262847,2285.27938136283,G01,,G01,18.6107857926076
3,2,19,1310.89950207717,1401.39344332066,G01,,G01,23.2709600060778
3,2,19,1401.39344332066,1675.54702248065,G01,,G01,0.97016076366458
3,2,19,1675.54702248065,1773.20666333897,R01,Q3-R01,K3-G2-R01,5.34774121829409
3,2,19,1773.20666333897,1805.49697475642,R02,Q3-R02,K3-G2-R02,1.82209757527613
3,2,19,1805.49697475642,1824.4897042486,R02,Q3-R02,K3-G2-R02,2.07255573920411
3,2,19,1824.4897042486,2034.4897042486,R02,Q3-R02,K3-G2-R02,2.11413823748617
3,2,19,2034.4897042486,2041.3560311529,R02,Q3-R02,K3-G2-R02,2.09612376061484
3,2,19,2041.3560311529,2308.95112798729,R02,Q3-R02,K3-G2-R02,1.85638895074911
3,2,19,2308.95112798729,2365.87072027245,R02,Q3-R02,K3-G2-R02,0.108761706713324
3,2,19,2365.87072027245,2545.87072027245,R02,Q3-R02,K3-G2-R02,0.411920705489166
3,2,19,2545.87072027245,2566.94702439029,R02,Q3-R02,K3-G2-R02,0.278894208390525
3,2,19,2566.94702439029,2804.66139781849,R02,Q3-R02,K3-G2-R02,3.64602600550684
3,2,19,2804.66139781849,3042.37577124668,G01,,G01,2.50714068208693
3,2,19,3042.37577124668,3108.58733618809,G01,,G01,27.5682979371973
3,2,20,4604.4689489816,4659.64525309944,G01,,G01,27.5682979371973
3,2,20,4659.64525309944,4852.19663204812,G01,,G01,4.28461253291375
3,2,20,4852.19663204812,4993.63531600199,R01,Q3-R03,K3-G2-R01,1.70007369000021
3,2,20,4993.63531600199,5064.35465797892,R01,Q3-R03,K3-G2-R01,1.02455766714111
3,2,20,5064.35465797892,5135.07399995586,R01,Q3-R03,K3-G2-R01,0.0324440523634877
3,2,20,5135.07399995586,5160.36556489726,R01,Q3-R03,K3-G2-R01,0.107266606759822
3,2,20,5160.36556489726,5370.36556489726,R01,Q3-R03,K3-G2-R01,0.150433572224728
3,2,20,5370.36556489726,5391.4418690151,R01,Q3-R03,K3-G2-R01,0.107266606759822
3,2,20,5391.4418690151,5425.78900509904,R01,Q3-R03,K3-G2-R01,0.0977284579790876
3,2,20,5425.78900509904,5544.66019542507,R01,Q3-R03,K3-G2-R01,0.389778667892941
3,2,20,5544.66019542507,5705.76540564828,G01,,G01,0.133744424954273
3,2,20,5705.76540564828,5866.8706158715,G01,,G01,5.77892887002884
3,2,20,5866.8706158715,5933.0821808129,G01,,G01,27.5682979371973
3,2,22,5071.05923415521,5126.94648594558,G01,,G01,27.4570949900334
3,2,22,5126.94648594558,5360.95267200229,G01,,G01,2.64660268261862
3,2,22,5360.95267200229,5394.25737415072,G01,,G01,2.84274166465613
3,2,22,5394.25737415072,5425.78900509904,G01,,G01,2.97531985376901
3,2,22,5425.78900509904,5544.66019542507,G01,,G01,2.97531985376901
3,2,22,5544.66019542507,5604.25737415072,G01,,G01,2.97531985376901
3,2,22,5604.25737415072,5632.01129260776,G01,,G01,2.84274166465613
3,2,22,5632.01129260776,5866.01747866447,G01,,G01,2.64660268261862
3,2,22,5866.01747866447,5933.0821808129,G01,,G01,27.4570949900334
3,3,4,4392.95432979195,4472.4386852607,G01,,G01,25.981341853713
3,3,4,4472.4386852607,4648.4589164898,G01,,G01,3.16569748822293
3,3,4,4648.4589164898,4824.47914771889,R01,Q3-R03,K3-G3-R01,2.22059211128949
3,3,4,4824.47914771889,4852.19663204812,R01,Q3-R03,K3-G3-R01,3.27938085689138
3,3,4,4852.19663204812,4890.18459205483,R02,Q3-R04,K3-G3-R02,4.84553039002492
3,3,4,4890.18459205483,5250.18459205483,R02,Q3-R04,K3-G3-R02,5.10847053278178
3,3,4,5250.18459205483,5302.74894752358,R02,Q3-R04,K3-G3-R02,4.64620749634376
3,3,4,5302.74894752358,5425.78900509904,R01,Q3-R03,K3-G3-R01,2.68990997062029
